delta_m,i_d,v_r,v_g,v_b
1,0.007214211,0.003922,0.003922,0.003922
1,0.007286354,0.003922,0.003922,0.003922
1,0.007359217,0.003922,0.003922,0.003922
1,0.007432809,0.000000,0.000000,0.000000
1,0.007507137,0.000000,0.000000,0.000000
1,0.007582208,0.003922,0.003922,0.003922
1,0.007658030,0.000000,0.000000,0.000000
1,0.007734611,0.000000,0.000000,0.000000
1,0.007811957,0.003922,0.003922,0.003922
1,0.007890076,0.000000,0.000000,0.000000
1,0.007968977,0.003922,0.003922,0.003922
1,0.008048667,0.000000,0.000000,0.000000
1,0.008129153,0.000000,0.000000,0.000000
1,0.008210445,0.000000,0.000000,0.000000
1,0.008292549,0.000000,0.000000,0.000000
1,0.008375474,0.000000,0.000000,0.000000
1,0.008459229,0.003922,0.003922,0.003922
1,0.008543821,0.003922,0.003922,0.003922
1,0.008629259,0.003922,0.003922,0.003922
1,0.008715551,0.000000,0.000000,0.000000
1,0.008802706,0.000000,0.000000,0.000000
1,0.008890733,0.003922,0.003922,0.003922
1,0.008979640,0.000000,0.000000,0.000000
1,0.009069436,0.000000,0.000000,0.000000
1,0.009160130,0.003922,0.003922,0.003922
1,0.009251731,0.000000,0.000000,0.000000
1,0.009344249,0.003922,0.003922,0.003922
1,0.009437691,0.000000,0.000000,0.000000
1,0.009532068,0.000000,0.000000,0.000000
1,0.009627389,0.000000,0.000000,0.000000
1,0.009723662,0.000000,0.000000,0.000000
1,0.009820899,0.000000,0.000000,0.000000
1,0.009919108,0.003922,0.003922,0.003922
1,0.010018300,0.003922,0.003922,0.003922
1,0.010118480,0.003922,0.003922,0.003922
1,0.010219670,0.000000,0.000000,0.000000
1,0.010321860,0.000000,0.000000,0.000000
1,0.010425080,0.003922,0.003922,0.003922
1,0.010529330,0.000000,0.000000,0.000000
1,0.010634630,0.000000,0.000000,0.000000
1,0.010740970,0.003922,0.003922,0.003922
1,0.010848380,0.000000,0.000000,0.000000
1,0.010956860,0.003922,0.003922,0.003922
1,0.011066430,0.000000,0.000000,0.000000
1,0.011177100,0.000000,0.000000,0.000000
1,0.011288870,0.000000,0.000000,0.000000
1,0.011401760,0.000000,0.000000,0.000000
1,0.011515770,0.000000,0.000000,0.000000
1,0.011630930,0.003922,0.003922,0.003922
1,0.011747240,0.003922,0.003922,0.003922
1,0.011864710,0.003922,0.003922,0.003922
1,0.011983360,0.000000,0.000000,0.000000
1,0.012103190,0.000000,0.000000,0.000000
1,0.012224230,0.003922,0.003922,0.003922
1,0.012346470,0.000000,0.000000,0.000000
1,0.012469930,0.000000,0.000000,0.000000
1,0.012594630,0.003922,0.003922,0.003922
1,0.012720580,0.000000,0.000000,0.000000
1,0.012847780,0.003922,0.003922,0.003922
1,0.012976260,0.000000,0.000000,0.000000
1,0.013106020,0.000000,0.000000,0.000000
1,0.013237080,0.000000,0.000000,0.000000
1,0.013369450,0.000000,0.000000,0.000000
1,0.013503150,0.000000,0.000000,0.000000
1,0.013638180,0.003922,0.003922,0.003922
1,0.013774560,0.003922,0.003922,0.003922
1,0.013912310,0.003922,0.003922,0.003922
1,0.014051430,0.000000,0.000000,0.000000
1,0.014191940,0.000000,0.000000,0.000000
1,0.014333860,0.003922,0.003922,0.003922
1,0.014477200,0.000000,0.000000,0.000000
1,0.014621970,0.000000,0.000000,0.000000
1,0.014768190,0.003922,0.003922,0.003922
1,0.014915880,0.000000,0.000000,0.000000
1,0.015065030,0.003922,0.003922,0.003922
1,0.015215680,0.000000,0.000000,0.000000
1,0.015367840,0.000000,0.000000,0.000000
1,0.015521520,0.000000,0.000000,0.000000
1,0.015676730,0.000000,0.000000,0.000000
1,0.015833500,0.000000,0.000000,0.000000
1,0.015991840,0.003922,0.003922,0.003922
1,0.016151750,0.003922,0.003922,0.003922
1,0.016313270,0.003922,0.003922,0.003922
1,0.016476400,0.000000,0.000000,0.000000
1,0.016641170,0.000000,0.000000,0.000000
1,0.016807580,0.003922,0.003922,0.003922
1,0.016975660,0.000000,0.000000,0.000000
1,0.017145410,0.000000,0.000000,0.000000
1,0.017316870,0.003922,0.003922,0.003922
1,0.017490030,0.000000,0.000000,0.000000
1,0.017664940,0.003922,0.003922,0.003922
1,0.017841580,0.000000,0.000000,0.000000
1,0.018020000,0.000000,0.000000,0.000000
1,0.018200200,0.000000,0.000000,0.000000
1,0.018382200,0.000000,0.000000,0.000000
1,0.018566020,0.000000,0.000000,0.000000
1,0.018751680,0.003922,0.003922,0.003922
1,0.018939200,0.003922,0.003922,0.003922
1,0.019128590,0.003922,0.003922,0.003922
1,0.019319880,0.000000,0.000000,0.000000
1,0.019513080,0.000000,0.000000,0.000000
1,0.019708210,0.003922,0.003922,0.003922
1,0.019905290,0.000000,0.000000,0.000000
1,0.020104340,0.000000,0.000000,0.000000
1,0.020305390,0.003922,0.003922,0.003922
1,0.020508440,0.000000,0.000000,0.000000
1,0.020713520,0.003922,0.003922,0.003922
1,0.020920660,0.000000,0.000000,0.000000
1,0.021129870,0.000000,0.000000,0.000000
1,0.021341170,0.000000,0.000000,0.000000
1,0.021554580,0.000000,0.000000,0.000000
1,0.021770120,0.000000,0.000000,0.000000
1,0.021987820,0.003922,0.003922,0.003922
1,0.022207700,0.003922,0.003922,0.003922
1,0.022429780,0.003922,0.003922,0.003922
